0.000000000000000000e+00,1.337019374755223744e+01
1.000000000000000000e+00,1.412507631257631147e+01
2.000000000000000000e+00,1.488122014437803742e+01
3.000000000000000000e+00,1.586487586487586476e+01
4.000000000000000000e+00,1.691186773153986067e+01
5.000000000000000000e+00,1.783647152068204633e+01
6.000000000000000000e+00,1.898753803515708327e+01
7.000000000000000000e+00,2.014527845036319320e+01
8.000000000000000000e+00,2.124588200059897858e+01
9.000000000000000000e+00,2.264939041058443792e+01
1.000000000000000000e+01,2.397677793904208698e+01
1.100000000000000000e+01,2.541998231653403906e+01
1.200000000000000000e+01,2.688404491683180098e+01
1.300000000000000000e+01,2.841927303465764965e+01
1.400000000000000000e+01,2.994695650433355283e+01
1.500000000000000000e+01,3.148212411370305830e+01
1.600000000000000000e+01,3.295044578063445329e+01
1.700000000000000000e+01,3.453122274550845816e+01
1.800000000000000000e+01,3.608848667672197053e+01
1.900000000000000000e+01,3.746621194897056739e+01
2.000000000000000000e+01,3.851708204649381173e+01
2.100000000000000000e+01,3.927707512613172725e+01
2.200000000000000000e+01,4.010129787907565202e+01
2.300000000000000000e+01,4.044913691972515579e+01
2.400000000000000000e+01,4.078190153661851269e+01
2.500000000000000000e+01,4.077063961679345994e+01
2.600000000000000000e+01,4.034092269386386675e+01
2.700000000000000000e+01,3.952634367728707332e+01
2.800000000000000000e+01,3.865299145299145067e+01
2.900000000000000000e+01,3.760909872020982903e+01
3.000000000000000000e+01,3.629597069597069492e+01
3.100000000000000000e+01,3.517776341305752652e+01
3.200000000000000000e+01,3.377289377289377370e+01
3.300000000000000000e+01,3.226383593730532340e+01
3.400000000000000000e+01,3.093089133089132758e+01
3.500000000000000000e+01,2.949172831525772409e+01
3.600000000000000000e+01,2.815977673120530156e+01
3.700000000000000000e+01,2.678527821384964014e+01
3.800000000000000000e+01,2.558471007450599188e+01
3.900000000000000000e+01,2.452024827024826692e+01
4.000000000000000000e+01,2.339538013007400608e+01
4.100000000000000000e+01,2.243618815047386406e+01
4.200000000000000000e+01,2.176129426129426037e+01
4.300000000000000000e+01,2.103106769773436469e+01
4.400000000000000000e+01,2.030408744694458889e+01
4.500000000000000000e+01,1.974945054945054679e+01
